v1x,v1y,p1x,p1y,tick,p2x,p2y
-1.770918,-44.01564,0,0,0,0,0
141.794647,384.319183,0,0,0,0,0
-249.005371,-157.528915,0,0,0,0,0
587.852417,600.528259,0,0,0,0,0
495.812927,-160.943817,0,0,0,0,0
-20.830313,513.963074,0,0,0,0,0
-475.733856,-627.090332,0,0,0,0,0
-133.305588,800.732422,0,0,0,0,0
-329.489441,558.273682,0,0,0,0,0
-8.07545,31.583763,0,0,0,0,0
-1.770918,-44.01564,0,0,1,-0.019655,-0.463211
141.794647,384.319183,0,0,1,1.573746,4.290777
-249.005371,-157.528915,0,0,1,-2.763652,-1.723068
587.852417,600.528259,0,0,1,6.524436,6.690431
495.812927,-160.943817,0,0,1,5.502912,-1.760969
-20.830313,513.963074,0,0,1,-0.231191,5.729665
-475.733856,-627.090332,0,0,1,-5.280058,-6.93462
-133.305588,800.732422,0,0,1,-1.479527,8.91245
-329.489441,558.273682,0,0,1,-3.656926,6.221457
-8.07545,31.583763,0,0,1,-0.089628,0.375849
-1.770918,-44.01564,0,0,2,-0.039288,-0.900598
141.794647,384.319183,0,0,2,3.145742,8.602096
-249.005371,-157.528915,0,0,2,-5.524234,-3.418913
587.852417,600.528259,0,0,2,13.041624,13.398737
495.812927,-160.943817,0,0,2,10.999708,-3.494673
-20.830313,513.963074,0,0,2,-0.462125,11.478271
-475.733856,-627.090332,0,0,2,-10.554251,-13.836226
-133.305588,800.732422,0,0,2,-2.957411,17.840305
-329.489441,558.273682,0,0,2,-7.309789,12.461311
-8.07545,31.583763,0,0,2,-0.179155,0.77659
-1.770918,-44.01564,0,0,3,-0.0589,-1.312191
141.794647,384.319183,0,0,3,4.715993,12.933932
-249.005371,-157.528915,0,0,3,-8.281748,-5.087565
587.852417,600.528259,0,0,3,19.551571,20.124897
495.812927,-160.943817,0,0,3,16.490398,-5.201143
-20.830313,513.963074,0,0,3,-0.692802,17.2458
-475.733856,-627.090332,0,0,3,-15.822582,-20.704857
-133.305588,800.732422,0,0,3,-4.433653,26.78355
-329.489441,558.273682,0,0,3,-10.958593,18.71954
-8.07545,31.583763,0,0,3,-0.268584,1.202194
-1.770918,-44.01564,0,0,4,-0.078489,-1.698017
141.794647,384.319183,0,0,4,6.284498,17.286264
-249.005371,-157.528915,0,0,4,-11.036199,-6.729054
587.852417,600.528259,0,0,4,26.054283,26.868893
495.812927,-160.943817,0,0,4,21.974987,-6.880407
-20.830313,513.963074,0,0,4,-0.923223,23.03223
-475.733856,-627.090332,0,0,4,-21.08506,-27.540546
-133.305588,800.732422,0,0,4,-5.908254,35.742168
-329.489441,558.273682,0,0,4,-14.603344,24.996124
-8.07545,31.583763,0,0,4,-0.357913,1.652633
-1.770918,-44.01564,0,0,5,-0.098057,-2.058107
141.794647,384.319183,0,0,5,7.851261,21.659069
-249.005371,-157.528915,0,0,5,-13.787589,-8.343411
587.852417,600.528259,0,0,5,32.54977,33.630703
495.812927,-160.943817,0,0,5,27.453482,-8.532497
-20.830313,513.963074,0,0,5,-1.153388,28.83754
-475.733856,-627.090332,0,0,5,-26.341692,-34.343334
-133.305588,800.732422,0,0,5,-7.381217,44.716141
-329.489441,558.273682,0,0,5,-18.244045,31.291044
-8.07545,31.583763,0,0,5,-0.447143,2.127881
-1.770918,-44.01564,0,0,6,-0.117603,-2.392487
141.794647,384.319183,0,0,6,9.416283,26.052324
-249.005371,-157.528915,0,0,6,-16.535923,-9.930666
587.852417,600.528259,0,0,6,39.03804,40.410309
495.812927,-160.943817,0,0,6,32.925888,-10.157444
-20.830313,513.963074,0,0,6,-1.383297,34.661705
-475.733856,-627.090332,0,0,6,-31.592484,-41.113255
-133.305588,800.732422,0,0,6,-8.852543,53.705452
-329.489441,558.273682,0,0,6,-21.880701,37.604279
-8.07545,31.583763,0,0,6,-0.536274,2.62791
-1.770918,-44.01564,0,0,7,-0.137127,-2.701188
141.794647,384.319183,0,0,7,10.979566,30.466007
-249.005371,-157.528915,0,0,7,-19.281202,-11.490849
587.852417,600.528259,0,0,7,45.5191,47.207691
495.812927,-160.943817,0,0,7,38.392216,-11.755276
-20.830313,513.963074,0,0,7,-1.612951,40.504711
-475.733856,-627.090332,0,0,7,-36.83744,-47.850342
-133.305588,800.732422,0,0,7,-10.322234,62.710083
-329.489441,558.273682,0,0,7,-25.513315,43.935806
-8.07545,31.583763,0,0,7,-0.625305,3.152691
-1.770918,-44.01564,0,0,8,-0.15663,-2.984237
141.794647,384.319183,0,0,8,12.541112,34.900093
-249.005371,-157.528915,0,0,8,-22.023432,-13.023989
587.852417,600.528259,0,0,8,51.992962,54.022831
495.812927,-160.943817,0,0,8,43.85247,-13.326024
-20.830313,513.963074,0,0,8,-1.84235,46.366531
-475.733856,-627.090332,0,0,8,-42.076569,-54.554638
-133.305588,800.732422,0,0,8,-11.790293,71.730019
-329.489441,558.273682,0,0,8,-29.141893,50.285606
-8.07545,31.583763,0,0,8,-0.714238,3.702198
-1.770918,-44.01564,0,0,9,-0.176111,-3.241663
141.794647,384.319183,0,0,9,14.100924,39.354561
-249.005371,-157.528915,0,0,9,-24.762615,-14.530117
587.852417,600.528259,0,0,9,58.459629,60.855705
