v1x,v1y,tick,p2x,p2y
0,-13.445747,6,0,-0.362405
0,-172.48291,73,0,-67.730644
0,-180.02919,76,0,-73.660896
0,-196.295288,83,0,-87.225304
0,-200.790192,85,0,-91.160179
0,-209.051483,88,0,-98.627441
0,-249.919922,104,0,-139.515457
0,-253.769485,105,0,-143.713409
0,-265.710846,110,0,-157.061829
0,-274.743317,114,0,-167.511368
0,-291.148926,120,0,-187.315796
0,-361.585266,147,0,-283.552948
0,-440.733154,176,0,-412.520264
0,-471.250793,187,0,-467.845856
0,-591.652344,229,0,-714.741028
0,-632.474854,242,0,-808.336365
0,-637.808167,244,0,-820.910889
0,-756.194641,283,0,-1120.330933
0,-893.232544,326,0,-1512.308228
0,-972.461609,350,0,-1759.474976
0,-5.9528,3,0,-0.046247
0,-38.435493,17,0,-3.338495
0,-87.780342,38,0,-17.771425
0,-187.129471,79,0,-79.450928
0,-218.053238,91,0,-107.077881
0,-229.16362,96,0,-117.923531
0,-292.806641,121,0,-189.360901
0,-323.944427,132,0,-229.898148
0,-360.999664,146,0,-282.698853
0,-364.835114,148,0,-288.430176
0,-413.352875,166,0,-365.49884
0,-441.592743,176,0,-414.046265
0,-455.935577,181,0,-439.714874
0,-479.624146,190,0,-483.55368
0,-516.925781,203,0,-556.24408
0,-557.055664,217,0,-639.266418
0,-719.964172,271,0,-1024.68396
0,-755.136841,283,0,-1117.476807
0,-857.15033,315,0,-1404.613159
0,-895.23175,326,0,-1518.378906
0,-83.623901,36,0,-16.131714
0,-125.975693,54,0,-36.464432
0,-169.048691,72,0,-65.10022
0,-182.071518,77,0,-75.302063
0,-244.309341,102,0,-133.508713
0,-281.523895,116,0,-175.58638
0,-310.03241,127,0,-211.350037
0,-414.554138,166,0,-367.521027
0,-468.773956,186,0,-463.24649
0,-672.645081,256,0,-905.035278
0,-696.529602,264,0,-964.655945
0,-726.299133,273,0,-1041.159302
0,-778.721619,290,0,-1181.536743
0,-788.368652,293,0,-1208.148438
0,-803.657776,298,0,-1250.797852
0,-932.524109,338,0,-1633.076172
0,-957.277161,345,0,-1711.00293
0,-957.073364,345,0,-1710.35498
0,-965.17749,348,0,-1736.145752
0,-990.862244,355,0,-1818.935181
0,-52.410236,23,0,-6.287992
0,-121.719521,52,0,-34.06908
0,-122.019928,53,0,-34.212513
0,-170.409225,72,0,-66.145683
0,-220.946365,93,0,-109.836807
0,-227.241608,95,0,-116.016495
0,-286.605957,118,0,-181.739075
0,-297.966278,123,0,-195.826263
0,-313.982086,129,0,-216.529205
0,-371.694397,150,0,-298.844452
0,-399.438812,161,0,-342.56601
0,-449.097595,179,0,-427.382507
0,-462.924316,184,0,-452.450378
0,-501.923157,197,0,-526.499084
0,-535.540222,209,0,-594.154419
0,-568.01593,220,0,-662.810242
0,-586.163086,227,0,-702.531738
0,-590.976868,228,0,-713.253174
0,-773.34137,288,0,-1166.805542
0,-912.853577,332,0,-1572.163818
0,-99.397911,43,0,-22.773352
0,-169.197037,72,0,-65.214226
0,-212.967484,89,0,-102.270645
0,-258.099548,107,0,-148.487289
0,-302.10553,124,0,-201.101791
0,-311.645294,128,0,-213.453781
0,-393.711884,159,0,-333.316101
0,-499.871094,197,0,-522.46759
0,-538.861633,210,0,-601.031006
0,-603.36499,233,0,-741.094177
0,-615.686523,237,0,-769.254639
0,-626.571411,240,0,-794.507019
0,-626.060913,240,0,-793.312439
0,-641.971802,246,0,-830.769836
0,-666.484131,254,0,-889.907104
0,-668.894836,255,0,-895.806396
0,-758.803772,284,0,-1127.347168
