p2y,tick
0,0
0.025309,1
0.075898,2
0.151739,3
0.252805,4
0.379068,5
0.530498,6
0.70707,7
0.908753,8
1.135521,9
1.387346,10
1.6642,11
1.966054,12
2.292882,13
2.644656,14
3.021347,15
3.422928,16
3.849372,17
4.300651,18
4.776736,19
5.277602,20
5.803219,21
6.353561,22
6.928601,23
7.52831,24
8.152661,25
8.801628,26
9.475183,27
10.173297,28
10.895945,29
11.643098,30
12.414729,31
13.210812,32
14.031319,33
14.876223,34
15.745497,35
16.639112,36
17.557045,37
18.499266,38
19.465748,39
20.456465,40
21.47139,41
22.510496,42
23.573757,43
24.661144,44
25.772633,45
26.908195,46
28.067804,47
29.251434,48
30.459057,49
31.690647,50
32.946178,51
34.22562,52
35.52895,53
36.85614,54
38.207165,55
39.581997,56
40.98061,57
42.402977,58
43.849075,59
45.318874,60
46.812347,61
48.329472,62
49.870216,63
51.434559,64
53.022472,65
54.63393,66
56.268906,67
57.927372,68
59.609306,69
61.314678,70
63.043465,71
64.795639,72
66.571175,73
68.370049,74
70.19223,75
72.037697,76
73.906418,77
75.79837,78
77.713531,79
79.651871,80
81.613365,81
83.597992,82
85.605721,83
87.636528,84
89.690392,85
91.767281,86
93.867172,87
95.990036,88
98.135849,89
100.304588,90
102.496223,91
104.710732,92
106.94809,93
109.208267,94
111.491241,95
113.796989,96
116.125488,97
118.476707,98
120.850624,99
123.247208,100
125.666435,101
128.108292,102
130.572739,103
133.059753,104
135.569321,105
138.10141,106
140.655991,107
143.233032,108
145.83252,109
148.454437,110
151.09874,111
153.765411,112
156.454437,113
159.165787,114
161.899429,115
164.655334,116
167.433487,117
170.233871,118
173.056442,119
175.901199,120
178.768097,121
181.65712,122
184.568237,123
187.501434,124
190.45668,125
193.433945,126
196.433212,127
199.454453,128
202.49765,129
205.562775,130
208.649796,131
211.758698,132
214.889465,133
218.042053,134
221.216446,135
224.412628,136
227.630569,137
230.870239,138
234.131622,139
237.414688,140
240.719406,141
244.045761,142
247.393738,143
250.763306,144
254.154434,145
257.567108,146
261.001282,147
264.45697,148
267.934113,149
