v1x,v1y,v1,ext,extV,rot,v2x,v2y,v2,v2 angle,vdx,vdy
0.000004,83.691765,83.691765,0.875285,-1.009565,0.000251,11.045486,-65.793594,66.714317,-1.404467,11.045483,-149.485359
0.000004,83.691765,83.691765,0.875285,-1.009565,0.000251,11.045486,-65.793594,66.714317,-1.404467,11.045483,-149.485359
0.000004,83.691765,83.691765,0.875285,-1.009565,0.000251,11.045486,-65.793594,66.714317,-1.404467,11.045483,-149.485359
0.830018,74.821625,74.826225,0.8026,-1.438458,0.001577,12.522115,-82.954872,83.894661,-1.420977,11.692096,-157.776497
1.508455,71.407265,71.423195,0.768577,-1.600812,0.002684,13.845503,-92.616875,93.646057,-1.422403,12.337048,-164.024139
1.508455,71.407265,71.423195,0.768577,-1.600812,0.002684,13.845503,-92.616875,93.646057,-1.422403,12.337048,-164.024139
4.093806,63.20454,63.336983,0.674324,-1.93116,0.007962,17.546162,-120.858284,122.125313,-1.426624,13.452355,-184.062824
4.093806,63.20454,63.336983,0.674324,-1.93116,0.007962,17.546162,-120.858284,122.125313,-1.426624,13.452355,-184.062824
7.088101,56.449268,56.89254,0.59054,-2.087091,0.016473,22.899666,-148.073685,149.833939,-1.417361,15.811564,-204.522953
9.184052,52.301373,53.101604,0.54008,-2.1215,0.024115,26.883816,-164.304016,166.488892,-1.408611,17.699763,-216.605389
-0.496111,49.425995,49.428486,0.908359,-0.706673,0.212637,19.967798,-38.134243,43.045712,-1.088433,20.46391,-87.560238
-0.496111,49.425995,49.428486,0.908359,-0.706673,0.212637,19.967798,-38.134243,43.045712,-1.088433,20.46391,-87.560238
-0.81234,41.080513,41.088543,0.782846,-1.252213,0.224708,31.598269,-72.516022,79.101349,-1.159863,32.410609,-113.596535
-3.019638,52.564659,52.651321,0.77247,-1.430892,0.03117,11.359715,-84.19902,84.961861,-1.436691,14.379352,-136.76368
22.603256,20.078136,30.233074,0.338864,-1.278785,0.010381,39.926311,-233.168182,236.561859,-1.401207,17.323055,-253.246319
21.501875,21.313944,30.275648,0.347831,-1.331201,0.001719,36.829208,-230.370239,233.295593,-1.412268,15.327333,-251.684183
7.469624,28.775967,29.729641,0.854553,-0.805077,0.378512,39.550549,-38.563786,55.239582,-0.772767,32.080925,-67.339752
8.293389,28.777153,29.948368,0.828976,-0.870736,0.388607,44.229385,-45.616833,63.538445,-0.800839,35.935996,-74.393986
9.551113,52.085316,52.953793,0.89823,-0.777787,0.051072,16.850933,-44.565197,47.64463,-1.209294,7.29982,-96.650513
49.91135,-8.798889,50.680996,0.211618,-0.094334,0.016278,72.253746,-275.279755,284.604187,-1.314112,22.342396,-266.480865
49.91135,-8.798889,50.680996,0.211618,-0.094334,0.016278,72.253746,-275.279755,284.604187,-1.314112,22.342396,-266.480865
-3.425912,54.772923,54.879959,0.804061,-1.301323,0.018878,8.689896,-74.769989,75.27327,-1.455094,12.115808,-129.542912
48.097672,-2.367338,48.155895,0.093552,-0.566053,0.013042,73.159698,-319.358582,327.631287,-1.345599,25.062027,-316.991243
42.842319,15.199414,45.458626,0.011715,-1.50188,0.007498,69.401581,-351.986633,358.763397,-1.376122,26.559261,-367.186048
11.865901,26.221312,28.781189,0.860029,-0.692621,0.516504,46.748238,-28.487816,54.744438,-0.547294,34.882337,-54.709127
13.34643,27.174681,30.275246,0.846858,-0.74676,0.448134,47.897099,-35.009155,59.327675,-0.631181,34.550669,-62.183836
8.890562,33.002125,34.178684,0.798101,-1.024051,0.395432,50.663857,-55.586086,75.210632,-0.831692,41.773294,-88.588211
9.892794,22.631634,24.699356,0.836362,-0.61246,0.629061,50.437218,-32.164089,59.820076,-0.567684,40.544424,-54.795723
-2.982003,46.186428,46.282593,0.779527,-1.33036,0.127354,21.109053,-78.144577,80.945457,-1.306965,24.091056,-124.331005
18.501011,30.846802,35.969608,0.888527,-0.692258,0.302482,39.524307,-28.761677,48.881542,-0.629073,21.023296,-59.608479
-33.024555,-11.87595,35.095005,0.605648,-0.026193,0.393485,15.371203,-135.524902,136.393814,-1.457859,48.395759,-123.648952
25.05213,138.115616,140.369278,0.585225,-2.879084,0.000974,41.475914,-174.145111,179.016113,-1.336984,16.423784,-312.260727
28.292686,113.58004,117.05085,0.301037,-3.881046,0.011029,51.087269,-264.797455,269.680542,-1.380208,22.794582,-378.377495
5.807584,60.457581,60.735882,0.918821,-0.658709,0.024565,10.044368,-42.871971,44.032887,-1.34066,4.236784,-103.329552
15.871154,27.798098,32.009808,0.779284,-0.717557,0.666075,71.532425,-41.754601,82.827133,-0.52836,55.661271,-69.552698
-32.786022,-11.103013,34.615028,0.600478,-0.059235,0.390198,16.044436,-137.26387,138.19838,-1.454437,48.830458,-126.160857
5.545273,34.192825,34.639561,0.826519,-0.993566,0.34646,41.484982,-50.278122,65.18354,-0.880931,35.939708,-84.470947
40.032112,-12.167519,41.840393,0.056058,-1.455792,0.00096,60.768723,-334.689911,340.161987,-1.391186,20.73661,-322.522392
40.032112,-12.167519,41.840393,0.056058,-1.455792,0.00096,60.768723,-334.689911,340.161987,-1.391186,20.73661,-322.522392
