v1x,v1y,v1,ext,extV,rot,v2x,v2y,v2,v2 angle,vdx,vdy
0.000004,89.774269,89.774269,0.914387,-0.730716,0,11.29254,-38.134476,39.771343,-1.282899,11.292536,-127.908745
0.000005,83.691765,83.691765,0.875285,-1.009565,0.000251,11.462999,-43.67289,45.152206,-1.314112,11.462995,-127.364655
1.508452,71.407257,71.423187,0.768577,-1.600812,0.002684,14.249461,-68.654144,70.117325,-1.366148,12.741009,-140.061401
1.508452,71.407257,71.423187,0.768577,-1.600812,0.002684,14.249461,-68.654144,70.117325,-1.366148,12.741009,-140.061401
2.297686,68.409088,68.447662,0.735914,-1.734704,0.004107,15.628977,-77.591385,79.14978,-1.372029,13.331291,-146.000473
2.297686,68.409088,68.447662,0.735914,-1.734704,0.004107,15.628977,-77.591385,79.14978,-1.372029,13.331291,-146.000473
2.297686,68.409088,68.447662,0.735914,-1.734704,0.004107,15.628977,-77.591385,79.14978,-1.372029,13.331291,-146.000473
3.166762,65.703339,65.77961,0.704518,-1.843797,0.005862,16.194357,-86.341103,87.846703,-1.385388,13.027595,-152.044441
4.093844,63.204529,63.336971,0.674324,-1.93116,0.007962,17.778013,-96.058144,97.68943,-1.387792,13.684169,-159.262672
6.064027,58.61116,58.924023,0.617366,-2.050726,0.013255,21.210262,-111.952789,113.94429,-1.383558,15.146235,-170.56395
0.676616,39.466743,39.472542,0.815944,-1.111324,0.250066,33.585384,-33.796783,47.646622,-0.788535,32.908768,-73.263527
10.41535,31.7841,33.447102,0.579311,-1.400936,0.262468,61.431084,-107.701233,123.98925,-1.052438,51.015734,-139.485332
21.501625,21.31418,30.275637,0.347831,-1.331218,0.001735,36.744892,-204.061249,207.34314,-1.392638,15.243267,-225.375429
21.501625,21.31418,30.275637,0.347831,-1.331218,0.001735,36.705376,-201.575775,204.890411,-1.390678,15.203751,-222.889956
35.576771,5.921288,36.066166,0.238815,-0.739806,0.004653,54.047913,-238.361923,244.412735,-1.347819,18.471142,-244.283211
36.660126,5.012167,37.001171,0.237245,-0.679956,0.018759,58.346107,-238.009583,245.056793,-1.330395,21.685982,-243.021749
36.660126,5.012167,37.001171,0.237245,-0.679956,0.018759,58.346107,-238.009583,245.056793,-1.330395,21.685982,-243.021749
7.716955,38.086514,38.860443,0.871041,-0.859472,0.210686,30.401224,-13.841611,33.403961,-0.427251,22.684269,-51.928124
44.073387,-2.904102,44.168964,0.220095,-0.346278,0.013021,64.54274,-245.593384,253.932816,-1.313804,20.469353,-242.689281
50.145885,-8.226943,50.816261,0.20882,-0.092259,0.034122,75.97583,-248.109192,259.481201,-1.273643,25.829945,-239.882249
50.396641,-7.913659,51.014187,0.138411,-0.254878,0.008731,72.817368,-275.863525,285.312195,-1.312721,22.420727,-267.949866
19.270077,30.061724,35.707745,0.680748,-0.966735,0.536714,86.5746,-51.902916,100.940941,-0.540064,67.304523,-81.96464
63.027756,-10.66574,63.923832,0.163345,-0.111624,0.066662,99.057106,-261.413239,279.551788,-1.208585,36.02935,-250.747499
45.845284,24.187456,51.834572,0.501229,-1.371231,0.022968,63.617931,-144.900009,158.25061,-1.157088,17.772648,-169.087465
26.027874,124.384918,127.078941,0.469,-3.324657,0.018446,48.100372,-185.503387,191.638077,-1.317087,22.072498,-309.888306
27.18681,112.626236,115.861092,0.363165,-3.596788,0.02992,54.3778,-215.862839,222.606628,-1.324022,27.19099,-328.489075
34.534531,10.24155,36.021149,0.009716,-2.451705,0.004691,55.708481,-325.378052,330.112579,-1.401229,21.17395,-335.619602
35.443817,-26.861614,44.472584,0.110768,-1.197989,0.01334,56.028069,-286.662964,292.086975,-1.37778,20.584251,-259.80135
36.551853,-29.651085,47.066174,0.12954,-0.909242,0.028214,60.30801,-278.885437,285.331635,-1.357829,23.756157,-249.234352
39.125908,-21.757349,44.768501,0.106591,-0.809277,0.029473,64.99794,-287.344421,294.604065,-1.348338,25.872032,-265.587072
41.731834,-15.833584,44.634609,0.071679,-1.03644,0.007993,64.035378,-298.751282,305.536987,-1.359648,22.303543,-282.917698
39.563129,-28.357868,48.676586,0.120145,-1.365989,0.008739,58.982517,-283.080688,289.160187,-1.365376,19.419388,-254.72282
55.94046,6.877974,56.361702,0,-1.395024,0.015859,85.002899,-326.887604,337.758789,-1.316393,29.062439,-333.765577
60.539749,187.912628,197.42395,0.640559,-2.766483,-0.29686,-43.588081,-155.211395,161.215683,-1.844575,-104.127831,-343.124023
38.20826,79.661926,88.350967,0.207508,-3.452924,0.012936,62.574997,-265.093658,272.378937,-1.338991,24.366737,-344.755585
37.893726,79.307159,87.895164,0.003202,-3.846525,0.016859,68.413742,-340.49295,347.297974,-1.372511,30.520016,-419.80011
36.447365,0.450741,36.45015,0.034605,-2.35674,0.009701,58.266502,-315.688477,321.020538,-1.388281,21.819138,-316.139218
36.290749,41.360901,55.024929,0.002292,-3.628452,0.002967,55.802963,-328.241028,332.950653,-1.4024,19.512215,-369.601929
41.322876,204.003143,208.14624,0.618506,-2.935409,-0.133642,-14.094309,-171.145264,171.72464,-1.652964,-55.417185,-375.148407
37.803253,243.91597,246.828049,0.635594,-2.945388,0.05151,79.866898,-180.060211,196.97818,-1.153314,42.063644,-423.976181
-40.74649,36.506603,54.708397,0.074901,-2.336786,-0.013323,-67.233459,-306.362549,313.653229,-1.786829,-26.486969,-342.869152
36.064095,177.044083,180.679901,0.272319,-4.728681,-0.04849,6.977121,-276.081665,276.1698,-1.54553,-29.086973,-453.125748
37.262272,202.279938,205.683365,0.602459,-3.052824,-0.142608,-22.011992,-175.390381,176.766266,-1.695646,-59.274263,-377.670319
31.618437,158.860718,161.9767,0.402889,-3.924444,-0.193752,-46.968288,-218.732117,223.718033,-1.782314,-78.586725,-377.592834
-16.485889,101.215958,102.549767,0.472236,-3.112292,-0.007252,-33.944603,-178.715012,181.91011,-1.758497,-17.458714,-279.930969
54.876259,146.952179,156.864105,0.761042,-1.931265,-0.249198,-18.743498,-110.605637,112.182549,-1.738664,-73.619757,-257.557816
-56.985359,-3.578786,57.097626,0.632193,0.108102,-0.034628,-71.120605,-89.535492,114.344849,-2.242069,-14.135246,-85.956706
-22.035713,93.447571,96.010521,0.346008,-3.43869,-0.0029,-40.175549,-217.881149,221.554214,-1.75314,-18.139835,-311.32872
43.446293,-9.127746,44.394775,0.830653,0.617937,-0.047216,0.440467,-18.74441,18.749584,-1.547302,-43.005826,-9.616664
-45.276138,178.368073,184.024719,0.315716,-4.47716,-0.009427,-73.435432,-255.102509,265.461975,-1.851084,-28.159294,-433.470581
1.411204,35.781891,35.809708,0.783628,-1.180033,-0.304377,-38.25692,-39.311806,54.854443,-2.342596,-39.668124,-75.093697
-18.022356,-13.14336,22.305901,0.071229,-0.570782,-0.002779,-35.816944,-300.404907,302.532593,-1.689465,-17.794588,-287.261547
23.845886,-28.670918,37.291389,0.690463,1.417592,-0.024835,-4.289415,-70.425415,70.555923,-1.631628,-28.135302,-41.754498
-34.031097,-12.84759,36.375488,0.059357,-1.917286,-0.01141,-54.444687,-306.169189,310.972351,-1.746782,-20.413589,-293.321599
-41.630608,-15.473688,44.413315,0.495486,0.723745,-0.011044,-55.249069,-142.479156,152.816132,-1.940715,-13.618462,-127.005468
-39.78878,10.55951,41.16613,0.165013,-1.09337,-0.000937,-59.633072,-269.017822,275.547974,-1.788939,-19.844292,-279.577332
-30.488934,91.207359,96.168381,0.31349,-3.459893,-0.00823,-51.620682,-229.938629,235.661774,-1.791633,-21.131748,-321.145988
-13.412246,46.81842,48.701675,0.912911,-0.657177,-0.098643,-22.163603,-12.56034,25.475231,-2.626011,-8.751357,-59.37876
-68.312271,-22.833763,72.027405,0.438959,0.894761,-0.079826,-93.092377,-157.105774,182.615479,-2.105717,-24.780106,-134.272011
-11.000099,31.934639,33.776077,0.884057,-0.732272,-0.390336,-41.084705,-1.222856,41.102901,-3.111837,-30.084606,-33.157495
-28.977207,10.26067,30.740198,0.25701,-0.900991,-0.00763,-47.300323,-235.21405,239.922836,-1.769244,-18.323116,-245.47472
-28.362553,106.480217,110.192879,0.192901,-4.055403,-0.011051,-52.712936,-277.141083,282.109619,-1.758754,-24.350384,-383.6213
-9.685226,23.53503,25.449976,0.831379,-0.640391,-0.645016,-54.191505,-3.449032,54.301151,-3.078033,-44.506279,-26.984062
-53.087463,11.09285,54.234032,0.013805,-1.405203,-0.001586,-79.373077,-323.947357,333.529572,-1.811081,-26.285614,-335.040207
-30.213631,-47.684608,56.450733,0.440062,1.258584,-0.119792,-59.225002,-158.818741,169.502197,-1.927733,-29.011372,-111.134132
-62.587593,18.469173,65.255783,0,-2.186963,-0.018868,-91.861847,-326.411011,339.091064,-1.845131,-29.274254,-344.880184
-28.007429,73.97364,79.098137,0,-4.322942,-0.009539,-45.370201,-331.617432,334.706696,-1.706767,-17.362772,-405.591072
-35.294426,57.926586,67.832047,0,-3.613626,-0.001203,-54.047752,-327.386322,331.817657,-1.734409,-18.753326,-385.312908
-33.44788,-35.645508,48.881107,0.154401,-0.858814,-0.007409,-52.35936,-267.941498,273.00943,-1.763778,-18.91148,-232.29599
-37.499382,179.477386,183.353043,0.275914,-4.711577,-0.001716,-61.953835,-271.960327,278.927765,-1.794779,-24.454453,-451.437714
33.948532,-11.100787,35.717365,0.605852,-0.065301,-0.380227,-16.395992,-106.297417,107.554489,-1.723837,-50.344524,-95.19663
-33.107403,62.252567,70.508743,0,-3.681573,-0.003533,-52.79829,-330.062103,334.258362,-1.729417,-19.690887,-392.314671
-26.999174,-42.378601,50.248394,0.156113,-1.251862,-0.002555,-45.103947,-270.08432,273.824585,-1.736269,-18.104773,-227.705719
-48.56477,41.963226,64.182938,0.027363,-2.661521,-0.008261,-76.52887,-324.492676,333.394928,-1.802406,-27.9641,-366.455902
-36.34684,18.459436,40.765717,0.17781,-1.425167,-0.011499,-58.323212,-265.4151,271.74762,-1.787102,-21.976372,-283.874537
-52.837154,224.914398,231.037338,0.59132,-3.143946,-0.067619,-100.725372,-172.258804,199.546219,-2.099914,-47.888218,-397.173203
-33.343716,-14.984398,36.555923,0.073603,-1.334511,-0.010864,-54.809715,-298.426575,303.41806,-1.752434,-21.466,-283.442177
-37.176617,-25.178631,44.900604,0.126174,-0.834778,-0.021711,-60.230038,-280.47876,286.872772,-1.782324,-23.053421,-255.300129
-59.721169,213.309814,221.512299,0.426993,-4.150351,-0.134074,-138.951447,-211.372192,252.953964,-2.152341,-79.230278,-424.682007
-31.007309,247.782593,249.715179,0.679643,-2.596813,-0.063194,-75.222824,-163.08992,179.601761,-2.002954,-44.215515,-410.872513
-37.956795,295.136658,297.567413,0.85795,-1.278452,-0.041776,-76.330429,-155.576691,173.292938,-2.026919,-38.373634,-450.713348
-35.879459,228.581329,231.380127,0.58521,-3.191386,-0.075132,-85.301933,-179.024139,198.307999,-2.015454,-49.422474,-407.605469
-29.61928,-28.987911,41.443947,0.138288,-0.901932,-0.002078,-46.858723,-277.093048,281.027222,-1.73832,-17.239443,-248.105137
-62.440376,25.127991,67.306885,0,-2.493189,-0.007705,-88.188179,-327.215759,338.891296,-1.834052,-25.747803,-352.34375
-34.51733,-32.455154,47.379143,0.141853,-0.941094,-0.007855,-53.203789,-275.220612,280.315948,-1.761754,-18.686459,-242.765457
-54.404121,30.860914,62.547615,0.018519,-2.272127,-0.005339,-82.434807,-325.355316,335.636078,-1.818943,-28.030685,-356.21623
-57.055359,17.91349,59.801395,0.010607,-1.736538,-0.018004,-89.003281,-322.115448,334.185486,-1.840379,-31.947922,-340.028938
-20.917107,-17.440886,27.23435,0.703089,0.901041,0.00153,9.876455,-63.726273,64.487068,-1.417037,30.793562,-46.285387
